date,title,content,,,,
1981/11/1,역사편찬위원회 발족,"협회는 11월 1일 역사편찬위원회를 발족시키고 17명의 위원을 위촉하였다. 그중 김원필 목사를 고문에, 이재석 협회장을 위원장에 추대하고 유광렬 전 협회 문화부장을 편사실장에 임명하였다. 고문 金元弼(김원필), 위원장 李載錫(이재석), 위원 姜賢實(강현실), 李耀翰(이요한), 李秀卿(이수경), 金相哲(김상철), 金榮輝(김영휘), 黃煥采(황환채), 柳光烈(유광렬), 金永雲(김영운), 崔元福(최원복), 文昇龍(문승룡), 崔翔翊(최상익), 朴普熙(박보희), 郭錠煥(곽정환), 金啓煥(김계환), 小山田秀生(오야마다 히데오) -사보 창간호 중-",,,,
1981/11/14,국제기독학생연합회(ICSA) 창설,대표 손대오,,,,
1981/11/16,"참아버님, 국제지도자회의(ILC)",,,,,
1981/12/18,"참부모님, 국제평화재단(The Foundation for Peace International) 창설",,,,,
1982/1/1,"참부모님, 제15회 하나님의 날 0시 집회, 연두표어 및 주제 '가정교회 승리'",,,,,
1982/4/1,문선명 연구소 창설,,,,,
1982/4/26,"문신복(文信福)님(음4.3)님 탄생, 문예진님 가정",9:00,,,,
1982/5/17,워싱턴타임스 창간,"본지 20면 부록 24면, 일간 12만부 발행, 발행인 및 편집인 제임스 웰런",,,,
1982/5/18,"참아버님, 탈세혐의 유죄 평결","배심원재판 유죄,카미야마 다케루 보좌관도 유죄",,,,
1982/6/21,"참부모님, 영계통합 선포식(음5.1)",,,,,
1982/10/14,"참부모님, 6000가정 축복결혼식, 주제 '천국건설의 역군이 되라'",오전 10시 30분,,,,
1982/12/26,워싱턴연구소 창설,,,,,
1983/1/1,"참부모님, 제16회 하나님의 날, 연두표어 및 주제 ‘가정교회는 우리의 정착지’",,,,,
1983/2/18,일본에 주식회사 One world production 설립,,,,,
1983/2/28,"문신정(文信貞)님(음1.16) 탄생, 문효진님 가정","지난 2월 28일(음 1. 16) 낮 12시 17분 미국 뉴욕에서 문효진씨(부인 홍난숙)가 따님을 낳아, 아버님께서 이름을 신정(信貞)으로 명명해주셨다. 무게는 6.13키로였다 -출처: 사보 제17호 3페이지 수록-",,,,
1983/4/25,국제종교재단(IRF) 창설,,,,,
1983/5/1,"참부모님, 협회창립 30회 기념식, 주제 '복귀섭리의 회고'",오전 9시,,,,
1983/12/18,"참부모님, 제1회 세계평화교수협의회(PWPA) 세계대회, 주제 '세계평화교수협의회와 우리의 결의'","제1차 세계평화교수협의회 세계대회, 세계 72개국 의장단 70여명 비롯한 국내 대학교수 및 일반인사 550여명",,,,
1984/1/8,"문흥진님 세계성화식 및 귀환식, 원전식","문흥진님 세계성화식-리틀엔젤스예술회관, 세계 70여 개국 3천여명 식구, 귀환식-신문로 영빈관, 원전식-경기도 파주군 적성면 무건리",,,,
1984/5/12,유니버설발레단 창단,,,,,
1984/5/16,"참부모님, 애천일(愛天日) 선포",,,,,
1984/6/1,"참부모님, 세계지도자회의",,,,,
1984/7/20,"참아버님, 미국 코네티컷주 댄버리 연방교도소에 오후 11시 수감",전국 식구 철야기도회,,,,
1984/11/3,세계원리연구회 초대회장에 문효진(文孝進)님 추대,참아버님 강연문 곽정환 대독,,,,
1985/2/1,"참부모님, 개천문일 선포",이스트가든에 계시는 참어머님과 전화 연결을 통하여 선포하심,,,,
1985/4/7,"참부모님, 천제부모등극식",댄버리 부활절 특별휴가 4일차,,,,
1985/8/16,"참부모님, 일승일(一勝日) 선포와 성수식(聖水式), 주제 '하나되라'",,,,,
1985/8/20,"참아버님, 댄버리 입감 13개월 만에 완전출감",하프웨이하우스-이스트가든,,,,
1985/9/1,세계종교자유협회 창립,회장: 조셉 페이지(Joseph C. Paige),,,,
1985/11/15,"참부모님, 세계종교의회 창립총회","세계종교의회 창립총회(1985.11.16, 뉴저지 아메리카나 그레이트조지호텔) 세계85개국 750명",,,,
1986/1/1,"참부모님, 제19회 하나님의 날 0시 예배, 연두표어 및 주제 ‘천국창건’",,,,,
1986/4/12,"참부모님, 축복가정 2세 36가정 성혼식",,,,,
1986/4/30,"참부모님, 한국 협회 및 국제승공연합 간부 대폭 교체",,,,,
1986/5/15,통일사상연구원 ‘공산주의의 종언’ 발간,,,,,
1987/3/1,미국 세계일보 창간,"사명으로 세계신보에서 세계일보로 명칭 변경 1982년 7월 24일 뉴욕에서 주간지「세계신보」가 창간되었다. 1986년 4월 2일 지령 제194호부터 격일간으로 발행하였다. 그러다가 금년(1987) 3월 1일 사명을 세계일사보로, 제호를「세계일보」(TheSaeGae Times)로 고치면서 명실 그대로의 일간지를 발행하게 되었다. -사보 67권 내용 중-",,,,
1987/6/1,"참부모님, 제1차 세계평화를 위한 정상회의 개회식, 주제 '세계평화를 위한 도전과 가능성'",,,,,
1987/7/3,"참부모님, 노스가든 봉헌식",효진님 동행,,,,
1987/12/15,남북통일운동국민연합 사회단체 등록(국토통일원 제18호),,,,,
1988/5/26,"참부모님, 한국티타늄 뉴세라믹스연구소 준공식",‘선진기술(先進技術)’ 휘호,,,,
1988/10/3,"참부모님, 세계통일국개천일 선포, 주제 '세계통일국개천일 말씀'",한국간부와 세계 120개국 대표 1천200여명,,,,
1988/10/30,"참부모님, 6500가정 축복결혼식","오전 11시, 한국 일본 등 18개국 6천516쌍",,,,
1989/1/11,"참부모님, 축복가정 2세 72가정 축복결혼식","오전 10시 축복결혼 축하만찬회, 리틀엔젤스예술회관 축하공연",,,,
1989/6/11,참아버님 지시로 전 식구 40일간 하루 한 끼 금식,7월 20일까지,,,,
1989/9/1,"참부모님, 천부주의(天父主義) 선포",,,,,
1989/9/18,"참부모님, Foundation Day 기념행사",,,,,
1989/10/16,"참부모님, 제1차 전국목회자교육",,,,,
1989/11/4,"참부모님, 홍순애 대모님 ‘충심봉신(忠心奉身)’ 휘호 ‘대모(大母)’ 존호 하사",신문로 공관 방문하심,,,,
1990/1/29,참아버님 고희기념 남북통일 대비 단합대회,,,,,
1990/2/27,"참부모님, 천지부모 선포, 주제 '하늘나라 왕권 정착'",참석자들에게 기념 팔찌 및 넥타이 선물,,,,
1990/3/1,"참부모님, 삼일절 집회, 주제 '선포하자 참부모님을'",,,,,
1990/3/27,"참부모님, 제31회 부모의 날 기념예배, 여성전체해방권 선포, 참어머님을 통일교회 제2교주로 임명, 주제 '부모의 날과 나'",,,,,
1990/5/5,국제교육재단(IEF) 창설,,,,,
1990/5/10,"참부모님, 문선명 회장 모스크바대회 보고회, 주제 '같이 전진하자'",시간: 오후 6시 30분 정계·재계·문화계 인사 2천여명,,,,
1990/5/25,"참부모님, 한남동 공관 교구장 및 선교사 연석회의, 주제 '참부모 선포와 종족적 메시아의 사명'",,,,,
1990/8/16,"참부모님, 제2회 세계종교의회 참아버님 기조연설 및 세계평화종교연합 창설 선포, 주제 '세계종교의회 기조연설'",,,,,
1990/11/20,"참부모님, 남북총선대비 서울 지도자대회","(1990.11.20~30, 리틀엔젤스예술회관 및 세계일보사 국제연수원) 11월 20일 사진만11.20 서울북부 동대문교회 11.25 전국대회 리틀엔젤스예술회관 11.27 서울남부 세계일보사 국제연수원 11.28 서울동부 세계일보사 국제연수원 11.29 전국 자원봉사자대회 세계일보사 국제연수원 11.30 서울서부 세계일보사 국제연수원",,,,
1990/11/23,"참부모님, 애원은행 설립","이사 40명 선정, 4억원 하사",,,,
1990/11/25,참부모 선포대회,,,,,
1991/1/1,"참부모님, 제24회 하나님의 날 0시 집회, 연두표어 및 주제 ‘내나라 통일’",주제 ‘제24회 하나님의 날 경배식 말씀‘,,,,
1991/6/14,"참부모님, 고명성(顧命性) 선서 선포식",,,,,
1991/7/1,"참부모님, 하나님 축복 영원선포식 및 칠일절 제정, 주제 '하나님 축복 영원 선포식'",,,,,
1991/8/15,《세계경전》 출간 봉헌,,,,,
1991/8/27,"참부모님, 세계평화종교연합 창설, 주제 '세계 평화를 위한 종교의 사명'",34개국 2천여명,,,,
1991/8/28,"참부모님, 세계평화연합 창설, 주제 ' 세계 평화로 가는 길'","51개국 대표와 전직 수상, 각 종교지도자, 저명 학자 등 2천여명",,,,
1991/9/17,"참어머님, 제1회 아시아평화여성연합 도쿄대회, 주제 '아시아와 세계를 구원하는 참사랑운동'",,,,,
1991/9/18,"참어머님, 통일교회 전국 신도대회, 도쿄, 주제 '해와의 사명'",,,,,
1991/10/24,"참부모님, 남북통일지도자총연합회 결성대회, 주제 '남북통일을 어떻게 할 것인가'",,,,,
1991/10/31,"참부모님, 한국 아시아평화여성연합 창립대회","오후 2시, 각계 각층 여성지도자 2천여명",,,,
1991/11/25,"참부모님, 냉전종식에 종지부 찍기 위해 김일성 주석과의 담판에 앞서 하와이에 들러 정성 들이심: 한국-미국",,,,,
1991/11/30,"참부모님, 북한 방문","참부모님, 북한 방문",,,,
1991/12/6,"참부모님, 김일성 주석과 회담 및 오찬","오전 9:50 김일성 주석과의 회담을 위해 출발 오전 10:30 주석공관 도착, 김일성 주석과 인사, 기념촬영 오전 10:30~12:00 단독회담 진행(참부모님, 김일성 주석, 윤기복 위원장, 김달현 부총리, 박보희 사장 내외) 오후 12:00~1:00 김일성 주석 초청 오찬(참부모님, 김일성 주석, 윤기복 위원장 내외, 김달현 부총리, 박보희 사장 내외, 김선옥 부위원장, 김효율 보좌관, 윤기병, 정원주, 황엽주 동석) 오후 1:00 기념촬영과 작별 인사 후 주석공관 출발 영상: 김일성 주석과 만남, 리틀엔젤스 평양공연",,,,
1991/12/7,"참부모님, 북한 방문 담화문 발표, 주제 '문선명 목사 북경 도착 담화문'",오후 4:20 북경도착 담화문 발표(현지시각),,,,
1992/1/1,"참부모님, 제25회 하나님의 날 기념식, 연두표어 및 주제 ‘새나라 통일’",,,,,
1992/3/30,"참부모님, ‘만민지원 지상천국(萬民之願 地上天國)’ 휘호",,,,,
1992/4/10,"참부모님, 세계평화여성연합 창설대회 및 아시아평화여성연합 서울대회, 주제 '세계여성시대의 도래'",세계 72개국 대표 및 전국 여성회원 15만명,,,,
1992/4/12,워싱턴타임스 김일성 주석 단독인터뷰,조세트 사이너 편집국장,,,,
1992/7/3,"참부모님, 통일그룹 지도자회의 재림주 선포, 주제 '이상세계의 주역이 되자'",,,,,
1992/7/6,"참부모님, 세계평화여성연합 지도자대회, 메시아 선포","07.06 충남·충북·대전권, 청주 실내체육관 07.07 부산·대구·경남·경북권, 부산 사직실내체육관 07.08 광주·제주·전남·전북권, 광주 종합실내체육관 07.09 서울·인천·경기·강원권, 서울 잠실실내체육관",,,,
1992/8/19,"참부모님, 제1회 세계문화체육대전",30일까지,,,,
1992/8/24,"참부모님, 세계평화통일당 창설 제창 및 메시아 선포, 제1회 세계문화체육대전 축하만찬회, 주제 '평화세계 건설의 주역이 되자'",,,,,
1992/10/26,"참아버님, 노스가든 천주통일 선포",,,,,
1993/1/1,"참부모님, 제26회 하나님의 날 0시 예배, 연두표어 및 주제 ‘새 가정과 통일조국’",,,,,
1993/1/3,"참부모님, 성약시대 출발 선포, 주제 '섭리사적 회고와 성약시대'",,,,,
1993/1/10,"참부모님, 성약시대 도래 선포, 주제 ‘재림 메시아의 재현과 성약시대’",,,,,
1993/5/26,"참어머님, ‘참부모와 성약시대’ 선포 미국 44개 도시 순회강연","26일~6월 28일21개 도시, 7월 10~31일 23개 도시 05.26 뉴욕주 알바니 옴니알바니호텔 850여명 05.27 코네티컷주 뉴헤이븐 파크플라자호텔 800여명 05.28 메릴랜드주 볼티모어 볼티모어메리어트 800여명 05.29 펜실배니아주 필라델피아 아담스마크호텔 700여명 05.30 미네소타주 세인트루이스 스토퍼콩코스호텔 400여명 05.31 밀워키 피스터호텔 06.01 유타주 솔트레이크시티 레드라이온호텔 200여명 06.02 캘리포니아주 샌디에이고 쉐라톤호텔 600여명 06.03 뉴멕시코주 앨버커키 더블트리호텔 225명 06.04 루이지애나주 뉴올리언스 힐튼호텔 300여명 06.05 앨라바마주 모빌 홀이데이인 530여명 06.06 메인주 포틀랜드 쉐라톤에어포트호텔 600여명 06.20 알래스카주 앵커리지 앵커리지퍼포밍 300여명 06.21 애리조나주 피닉스 웨스트코트인더뷰츠호텔 500여명 06.22 캔자스주 토페카 홀리데이인웨스트홀리돔 300여명 06.23 미시간주 디트로이트 디어본메리어트호텔 500여명 06.24 플로리다주 마이애미 하얏트리젠시호텔 500여명 06.25 뉴햄프셔주 맨체스터 뉴햄프셔홀리데이인 500여명 06.26 노스캐롤라이나주 샬럿 이그제큐티브파크메리어트호텔 750여명 06.27 테네시주 내쉬빌 리갈맥스웰하우스 500여명 06.28 브리지포트주 브리지포트대학교 아놀드버나드센터 1천500여명 07.10 호놀룰루 알라모아나호텔 07.11 라스베이거스 샌즈호텔 07.12 빌링스 쉐라톤호텔 07.13 샤이엔 리틀아메리카호텔 07.14 수폴스 베스트웨스턴램코타호텔 07.15 오클라호마시티 매리어트호텔 07.16 잭슨 홀리데이인다운타운 07.17 컬럼비아 브룩랜드케이시고교 07.18 윌밍턴 래디슨호텔 07.19 프로비던스 메리어트호텔 07.20 보이시 레드라이온호텔 07.21 파고 홀리데이인 07.22 오마하 홀리데이인컨벤션센터 07.23 디모인 메리어트호텔 07.24 리틀록 아칸소엑셀시어호텔 07.25 찰스턴 찰스턴하우스홀리데이인 07.26 오리건주 포틀랜드 홀리데이인 07.27 인디애나폴리스 웨스틴호텔 07.28 워싱턴DC 국회의사당 상원의원회관 07.29 버링턴 쉐라톤호텔 07.30 루이빌 브라운호텔 07.31 리치먼드 래디슨다운타운호텔/콜럼버스 컨벤션센터",,,,
1993/9/11,"참어머님, ‘참부모와 성약시대’ 선포 일본 순회강연","참어머님, ‘참부모와 성약시대’ 선포 일본 순회강연 9월 30일까지 27개 장소에서 진행 됨. 9월 11일 WFWP 홋카이도 대회 (삿포로 로얄 호텔), 이와미자와 (이와미자와 시민 회관) 9월 12일 WFWP 미야기현 센다이 대회 (센다이 선플라자) 9월 13일 WFWP 후쿠시마현 고리야마 (고리야마 유락스 아타미), 도쿄 대회 (포시즌즈 진잔소) 9월 14일 국회 시설·헌정기념관(憲政記念館)에서 국회의원을 초청하여 강연, WFWP 도쿄 돔 5만명 대회(도쿄 돔) 9월 15일 WFWP 나가노 대회 (나가노 시민 회관) 9월 16일 WFWP 니가타 대회 (산조 시, 현 중앙지역 산업진흥센터) 9월 17일 WFWP 군마 대회 (마에바시 시, 군마 현민 회관) 9월 18일 도쿄: 유엔(国連)대학교에서 강연 9월 19일 WFWP 이시카와현 가나자와 대회 (가나자와 관광 회관) 9월 20일 WFWP 기후 대회 (기후 그랜드 호텔), 나고야 대회 (시로토리 센추리 홀) 9월 21일 WFWP 오카야마 대회 (컴팩스 오카야마), 히로시마 대회 (멜파르크) 9월 22일 WFWP 돗토리 대회 (돗토리시민문화센터) 9월 23일 WFWP 카가와현 다카마쓰 대회 (마쯔노이 팔레스), WFWP 에히메현 마쓰야마 대회 (코뮤니티 센타 카멜리아홀) 9월 24일 WFWP 후쿠오카현 무나카타시 대회 (무나카타 유릭스) 9월 25일 WFWP 쿠마모토 대회 (쿠마모토 현민극장) 9월 26일 WFWP 사가현 도스시 대회 (도스시민문화회관) 9월 27일 WFWP 오키나와현 기노완시 대회 (기노완 컨벤션극장) 9월 28일 WFWP 쿄토후 나가오카쿄시 대회 (나가오카쿄 기념문화회관) 9월 29일 WFWP 고베대회(고베문화홀), 오사카 남부 대회 (텐노지 미야코호텔) 9월 30일 WFWP 오사카 북부 대회 (오사카 로얄호텔)",,,,
1994/1/1,"참부모님, 제27회 하나님의 날, 연두표어 및 주제 ‘참부모와 성약시대 안착’",,,,,
1994/3/1,성화대를 선문대학교(SUN MOON UNIVERSITY)로 개명,,,,,
1994/3/26,"참부모님, 고르바초프 전 소련 대통령과 오찬회담",,,,,
1994/3/26,"참부모님, 제2차 세계평화회의(FWP) 서울대회 리셉션",미하일 고르바초프 전 소련 대통령 등 70여개국 대표 200명,,,,
1994/3/27,"참부모님, 제2차 세계평화회의(FWP) 서울대회 개막식, 주제 '참평화의 근본원리'",,,,,
1994/4/27,한국 200개 대학 강연회 ‘참부모와 성약시대’ 선포,"전국대학원리연구회 지부장, 교구장, 학군장이 대독",,,,
1994/5/1,"참부모님, 협회창립 40주년 기념식, 주제 '심정문화세계 창건을 위하여'",,,,,
1994/5/1,"참부모님, 가정맹세문 제정 선포",,,,,
1994/5/1,《세계경전》 한글판 발간,,,,,
1994/5/3,"참부모님, 세계평화통일가정연합회 창립",회장 김원필,,,,
1994/7/26,"참부모님, 세계평화청년연합 창설, 주제 '이제 하나님주의를 주창할 때가 왔습니다'",세계평화청년연합 초대회장 주동문,,,,
